Nr,FirstName,LastName,Organisation,Status
1,Abad Heras, Alfredo,Spanish Evangelical Church, Evangelische Kirche in Spanien,Delegate
2,Albecker, Christian Jean Georges,Communion of Protestant Churches in Europe (CPCE), Gemeinschaft Evangelischer Kirchen in Europa (GEKE),Council
3,Alexander, Ian,Church of Scotland, Kirche von Schottland,Delegate
4,Alsted, Christian,The United Methodist Church - Northern Europe and Eurasia Central Conference, Evangelisch-methodistische Kirche, Nordische Region,Delegate
5,Bachler, Ingrid,Evangelical Church of the Augsburg Confession in Austria, Evangelische Kirche A.B. in Österreich,Delegate
6,Balogné Vincze, Katalin,Evangelical-Lutheran Church in Hungary, Evangelisch-Lutherische Kirche in Ungarn,Delegate
7,Baranyay, Bence,Evangelical-Lutheran Church in Hungary, Evangelisch-Lutherische Kirche in Ungarn,Delegate
8,Bareis, Rolf,Evangelical-Lutheran Church in Georgia and Southern Caucasus, Evangelisch-Lutherische Kirche Georgiens und des südlichen Kaukasus,Delegate
9,Bargheer, Axel,Reformed Synod of Denmark, Reformierte Synode in Dänemark,Delegate
10,Beba, Volker,Protestant Church of Luxembourg, Protestantische Kirche von Luxemburg,Delegate
11,Bei der Wieden, Susanne,Evangelical Reformed Church, Evangelisch-reformierte Kirche,Delegate
12,Björnsson, Kristján,The Evangelical Lutheran Church of Iceland, Evangelisch-Lutherische Kirche Islands,Delegate
13,Bökemeier, Dieter,Church of Lippe, Lippische Landeskirche,Delegate
14,Bonden, Ole Kristian,Church of Norway, Kirche von Norwegen,Delegate
15,Bosse-Huber, Petra,Union of Evangelical Churches, Union Evangelischer Kirchen in der EKD (UEK),Delegate
16,Boukis, Dimitrios,Evangelical Church of Greece, Griechische Evangelische Kirche,Delegate
17,Bradbury, John,Communion of Protestant Churches in Europe (CPCE), Gemeinschaft Evangelischer Kirchen in Europa (GEKE),Council
18,Bretschneider-Felzmann, Almut,Church of Sweden, Schwedische Kirche,Delegate
19,Brouwer, Jelle Hindriks,United Protestant Church of Belgium, Vereinigte Protestantische Kirche in Belgien,Delegate
20,Bruce, David,The Presbyterian Church in Ireland, Presbyterianische Kirche in Irland,Delegate
21,Brzóska, Marcin,Communion of Protestant Churches in Europe (CPCE), Gemeinschaft Evangelischer Kirchen in Europa (GEKE),Council
22,Buchholz, Dieter,Protestant Church of Liechtenstein, Evangelische Kirche im Fürstentum Liechtenstein,Delegate
23,Chalupka, Michael,Evangelical Church of the Augsburg Confession in Austria, Evangelische Kirche A.B. in Österreich,Delegate
24,Curlewis, Tara,Church of Scotland, Kirche von Schottland,Delegate
25,Daniel, Thilo,Evangelical Lutheran Church of Saxony, Evangelisch-Lutherische Landeskirche Sachsens,Delegate
26,Dieckow, Johannes,United Evangelical-Lutheran Church of Germany, Vereinigte Evangelisch-Lutherische Kirche Deutschlands (VELKD),Delegate
27,Dieling, Pia,Evangelical Church of Hesse Electorate-Waldeck, Evangelische Kirche von Kurhessen-Waldeck,Delegate
28,Dienst, Renate,Federation of Evangelical Lutheran Churches in Switzerland and Liechtenstein, Bund Evangelisch-Lutherischer Kirchen in der Schweiz,Delegate
29,Drensek, Deborah Miriam,Evangelical Lutheran Church in Württemberg, Evangelische Landeskirche in Württemberg,Delegate
30,Dürr, Oliver,Evangelical Lutheran Church in Oldenburg, Evangelisch-Lutherische Kirche in Oldenburg,Delegate
31,Ernst, Christoph,Evangelical Church in Central Germany, Evangelische Kirche in Mitteldeutschland,Delegate
32,Famos, Rita,Communion of Protestant Churches in Europe (CPCE), Gemeinschaft Evangelischer Kirchen in Europa (GEKE),Council
33,Flake, Woldemar,Evangelical Lutheran Church of Hanover, Evangelisch-Lutherische Landeskirche Hannovers,Delegate
34,Gaarden, Marianne,Evangelical Lutheran Church in Denmark, Evangelisch-Lutherische Volkskirche in Dänemark,Delegate
35,Gajewski, Pawel Andrzej,Waldensian Evangelical Church, Evangelische Waldenserkirche,Council
36,Gross, Oleksandr,German Evangelical Lutheran Church of Ukraine, Deutsche Evangelisch-Lutherische Kirche in der Ukraine,Delegate
37,Guldanová, Eva,Evangelical Church of the Augsburg Confession in Slovakia, Evangelische Kirche Augsburgischen Bekenntnisses in der Slowakei,Delegate
38,Gunnarsson, Gretar,The Evangelical Lutheran Church of Iceland, Evangelisch-Lutherische Kirche Islands,Delegate
39,Hedrich, Ute,Evangelical Church in Germany, Evangelische Kirche in Deutschland (EKD),Delegate
40,Hegstad, Harald,Church of Norway, Kirche von Norwegen,Delegate
41,Hennefeld, Thomas,Evangelical Church of the Helvetic Confession in Austria, Evangelische Kirche H.B. in Österreich,Delegate
42,Henry-Robinson, Tessa,The United Reformed Church in the United Kingdom, Vereinigte Reformierte Kirche im Vereinigten Königreich,Delegate
43,Hirzel, Martin,Protestant Church in Switzerland, Evangelisch-reformierte Kirche Schweiz,Delegate
44,Huneke, Annika,Evangelical Church of Westphalia, Evangelische Kirche von Westfalen,Delegate
45,Ihle, Günter,Evangelical Church in Baden, Evangelische Kirche in Baden,Delegate
46,Iversen, Thomas Raadin,Church of Norway, Kirche von Norwegen,Delegate
47,Janssen, Wibke,Evangelical Church in the Rhineland, Evangelische Kirche im Rheinland,Delegate
48,Jeremias, Tilman,Evangelical Lutheran Church in Northern Germany, Evangelisch-Lutherische Kirche in Norddeutschland,Delegate
49,Jost, Lydia,Evangelical Church in Baden, Evangelische Kirche in Baden,Delegate
50,Kairys, Mindaugas,Evangelical Lutheran Church in Lithuania, Litauische Evangelisch-Lutherische Kirche,Delegate
51,Karttunen, Tomi,Evangelical Lutheran Church of Finland, Evangelisch-Lutherische Kirche in Finnland,Delegate
52,Kayser, Susanne,Evangelical Church of Bremen, Bremische Evangelische Kirche,Delegate
53,Kempe, Anna,Evangelical Lutheran Church of Hanover, Evangelisch-Lutherische Landeskirche Hannovers,Delegate
54,Kjærgaard Fischer, Laura,Evangelical Lutheran Church in Denmark, Evangelisch-Lutherische Volkskirche in Dänemark,Delegate
55,Klumpp, Sibylle,United Protestant Church of France, Vereinigte Protestantische Kirche Frankreichs,Delegate
56,Kneubühler, Philippe,Protestant Church in Switzerland, Evangelisch-reformierte Kirche Schweiz,Delegate
57,Koroza, Przemysław Semko,Evangelical-Reformed Church in Poland, Evangelisch-Reformierte Kirche in Polen,Delegate
58,Kujawa, Grzegorz Jerzy,Protestant Reformed Church of Alsace and Lorraine, Reformierte Kirche Elsass-Lothringens,Delegate
59,Luteijn, Mart Jan,Protestant Church in the Netherlands, Protestantische Kirche in den Niederlanden,Delegate
60,Magne de la Croix, Petra Renate,Protestant Reformed Church of Alsace and Lorraine, Reformierte Kirche Elsass-Lothringens,Delegate
61,Martin, Michael,Communion of Protestant Churches in Europe (CPCE), Gemeinschaft Evangelischer Kirchen in Europa (GEKE),Council
62,Maurot, Sandrine,United Protestant Church of France, Vereinigte Protestantische Kirche Frankreichs,Delegate
63,Meissner, Diethelm,Evangelical Church of Hesse Electorate-Waldeck, Evangelische Kirche von Kurhessen-Waldeck,Delegate
64,Mogren, Mikael,Church of Sweden, Schwedische Kirche,Delegate
65,Müller, Ingrid,German Evangelical Lutheran Church in Latvia, Deutsche Evangelisch-Lutherische Kirche Lettland,Delegate
66,Nelson, Joseph,Lutheran Church in Great Britain, Lutherische Kirche in Großbritannien,Delegate
67,Neuwerth, Sigrun,Church of Lippe, Lippische Landeskirche,Delegate
68,Novak, Leon,Evangelical Church of the Augsburg Confession in Slovenia, Evangelische Kirche A.B. in Slowenien,Delegate
69,Parkkinen, Mari,Evangelical Lutheran Church of Finland, Evangelisch-Lutherische Kirche in Finnland,Delegate
70,Paza, Anita Varsbergs,Latvian Evangelical Lutheran Church Worldwide, Lettische Evangelisch-Lutherische Kirche Weltweit,Delegate
71,Pepel, Harald,Evangelical Lutheran Church of Saxony, Evangelisch-Lutherische Landeskirche Sachsens,Delegate
72,Plasger, Georg,Communion of Protestant Churches in Europe (CPCE), Gemeinschaft Evangelischer Kirchen in Europa (GEKE),Council
73,Prieto Peral, Thomas,Evangelical Lutheran Church in Bavaria, Evangelisch-Lutherische Kirche in Bayern,Delegate
74,Quandt, Raphael,Evangelical Lutheran Church in Bavaria, Evangelisch-Lutherische Kirche in Bayern,Delegate
75,Raszka, Arkadiusz,Evangelical Church of Augsburg Confession in Poland, Evangelische Kirche A.B. in Polen,Delegate
76,Rommel, Wilma Elisabet,United Evangelical Lutheran Church, Vereinigte Evangelisch-Lutherische Kirche,Delegate
77,Rose, Miriam,Communion of Protestant Churches in Europe (CPCE), Gemeinschaft Evangelischer Kirchen in Europa (GEKE),Council
78,Rossell, Annemarie,Evangelical Church of Palatinate, Evangelische Kirche der Pfalz,Delegate
79,Rudolph, Barbara,Communion of Protestant Churches in Europe (CPCE), Gemeinschaft Evangelischer Kirchen in Europa (GEKE),Council
80,Rückert, Harald,United Methodist Church Central Conference of Germany, Evangelisch-Methodistische Kirche Deutschland,Delegate
81,Rüsen Weinhold, Ulrich,United Protestant Church of France, Vereinigte Protestantische Kirche Frankreichs,Delegate
82,Šamšula, Jiří,Evangelical Church of Czech Brethren, Evangelische Kirche der Böhmischen Brüder,Delegate
83,Sauter, Martin,The Lutheran Church in Ireland, Lutherische Kirche in Irland,Delegate
84,Schaefer, Markus,Evangelical Church in the Rhineland, Evangelische Kirche im Rheinland,Delegate
85,Scherf, Ulrike,Evangelical Church in Hesse and Nassau, Evangelische Kirche in Hessen und Nassau,Delegate
86,Scheuter, Sabine,Protestant Church in Switzerland, Evangelisch-reformierte Kirche Schweiz,Delegate
87,Schlegel, Ricardo Martin,Evangelical Church of the River Plate, Evangelische Kirche am La Plata,Delegate
88,Schmidt, Ulla,Evangelical Lutheran Church in Denmark, Evangelisch-Lutherische Volkskirche in Dänemark,Delegate
89,Schnepel, Christina,Evangelical Church in Hesse and Nassau, Evangelische Kirche in Hessen und Nassau,Delegate
90,Schwier, Laura Celine,Evangelical Lutheran Church of Schaumburg-Lippe, Evangelisch-Lutherische Landeskirche Schaumburg-Lippe,Delegate
91,Stumpf, Christoph,Evangelical Lutheran Church in Northern Germany, Evangelisch-Lutherische Kirche in Norddeutschland,Delegate
92,Tarr Cselovszky, Klára,Communion of Protestant Churches in Europe (CPCE), Gemeinschaft Evangelischer Kirchen in Europa (GEKE),Council
93,Telder, Torben W.,Independent Evangelical Reformed Walloon Dutch Church of Hanau, Selbstständige Ev.-Reformierte Wallonisch-Niederländische Kirche zu Hanau,Delegate
94,Theilemann, Christof,Evangelical Church in Berlin-Brandenburg-Silesian Upper Lusatia, Evangelische Kirche Berlin-Brandenburg-schlesische Oberlausitz,Delegate
95,Thiele, Kirsten,Evangelical Lutheran Church in Italy, Evangelisch-Lutherische Kirche in Italien,Delegate
96,Tiitus, Marko,Estonian Evangelical Lutheran Church, Estnische Evangelisch-Lutherische Kirche,Delegate
97,Tikhomirov, Anton,Federation of the Evangelical Lutheran Churches in Russia and Other States, Bund der Evangelisch-Lutherischen Kirchen in Russland und anderen Staaten,Delegate
98,Titosse, Maria Eduarda,Evangelical Presbyterian Church of Portugal, Evangelisch-Presbyterianische Kirche von Portugal,Delegate
99,Trautwein, Ulrike,Evangelical Church in Berlin-Brandenburg-Silesian Upper Lusatia, Evangelische Kirche Berlin-Brandenburg-schlesische Oberlausitz,Delegate
100,Tyrlík, Tomáš,Silesian Evangelical Church of the Augsburg Confession, Schlesische Evangelische Kirche A.B.,Delegate
101,Végh, Nimrod,Evangelical Lutheran Church in Romania, Evangelisch-Lutherische Kirche in Rumänien,Delegate
102,Vilumaa, Hedi,Estonian Evangelical Lutheran Church, Estnische Evangelisch-Lutherische Kirche,Delegate
103,von Wahl, Bettina,United Evangelical-Lutheran Church of Germany, Vereinigte Evangelisch-Lutherische Kirche Deutschlands (VELKD),Delegate
104,Vrabec, Samir,Evangelical Lutheran Church in Croatia, Evangelisch-Lutherische Kirche in Kroatien,Delegate
105,Waechter, Meike,Reformierter Bund,Delegate
106,Weber, Charlotte,Evangelical Church in Central Germany, Evangelische Kirche in Mitteldeutschland,Delegate
107,Weber-Berg, Christoph,Protestant Church in Switzerland, Evangelisch-reformierte Kirche Schweiz,Delegate
108,Weißker-Vorgias, Silke,German-speaking Protestant Church in Greece, Evangelische Kirche Deutscher Sprache in Griechenland,Delegate
109,Welschen, Johannes,Moravian Church, European Continental Province, Evangelische Brüder Unität – Herrnhuter Brüdergemeinde,Delegate
110,Witte-Knoblauch, Katja,Evangelical Lutheran Church in Brunswick, Evangelisch-Lutherische Landeskirche in Braunschweig,Delegate
111,Wulz, Gabriele,Evangelical Lutheran Church in Württemberg, Evangelische Landeskirche in Württemberg,Delegate
112,Wüst, Dorothee,Evangelical Church of Palatinate, Evangelische Kirche der Pfalz,Delegate
113,Ziaja, Thomas,Evangelical Church of Bremen, Bremische Evangelische Kirche,Delegate
114,Zikeli, Daniel,Evangelical Church of the Augsburg Confession in Romania, Evangelische Kirche A.B.in Rumänien,Delegate
